ref_hash,obj
1310258515916187559_st,238112.34375
1311716395227719150_st,93028.5
1311884661988038994_st,236555.03125
1313615473299479354_st,239698.359375
1313764485732247479_st,55258.6171875
1315792885380883436_st,93726.078125
1319359126470626650_st,63708.19140625
1319530529617838683_st,28050.427734375
1319647639949654011_st,20338.0703125
1320285155686563936_st,46211.37109375
1320698541748474698_st,89856.7578125
1321931638565151894_st,21096.578125
1325299270880328289_st,135471.890625
1327834472616354686_st,2205.37060546875
1328371665987429740_st,84925.4296875
1334979714748379384_st,238021.078125
1337817839840024265_st,63744.875
133862296273929010_st,49584.08984375
1339357409349811507_st,31958.681640625
1340306399366036773_st,51642.1015625
134252899899870481_st,238861.0625
1343304896887941153_st,22388.26171875
1343610696446705241_st,33746.8671875
1343846973671863229_st,31920.421875
1344094560572816090_st,138255.28125
1346626463765194606_st,155107.84375
1352341197795597622_st,64133.50390625
135238190226173630_st,239321.796875
1353263670976574129_st,106323.453125
13538278622181869_st,54767.87890625
1357410736932166810_st,161634.984375
1358413347723403971_st,237822.953125
1362414875645754903_st,46419.9921875
1363698198585598240_st,240808.75
1364647366087403809_st,106431.3046875
1368635821614525643_st,237822.953125
1368648383437916310_st,16652.765625
1377832923059903066_st,21455.24609375
1379699859413237664_st,65058.93359375
1380962370594749522_st,61667.37890625
1382829534454032345_st,237760.15625
1385715509195499069_st,16558.158203125
1387114378850828264_st,30732.73046875
1389885607828963485_st,78392.8125
1394811243445482525_st,139236.046875
1395269098318536492_st,20805.87890625
1400075890161845268_st,63700.58984375
1400708258671251084_st,47536.3515625
1401236653722021257_st,241319.46875
1404411859457035750_st,154888.640625
1404448451510586910_st,21353.4375
1405078374337581334_st,68861.484375
1405787563688548883_st,228266.453125
1405946286287450031_st,31461.744140625
1407405697773200982_st,160035.71875
1409860811222483843_st,66661.875
1410718164519785502_st,23892.126953125
141185236309213124_st,25115.525390625
1414751606152167615_st,140627.578125
1415274408925640121_st,159706.15625
1416278477638614719_st,64330.58984375
1419354839057038471_st,224646.828125
1432518504296468150_st,95410.6953125
1435877564557012951_st,18412.54296875
143620778860167232_st,100130.484375
1437959286938859386_st,233866.0
1437969918229546366_st,238041.375
1440198406831417758_st,70850.2734375
1442246240574869187_st,17051.83203125
1443196661695947486_st,46945.43359375
144510415764152026_st,71465.7734375
1448251469825515781_st,34647.1171875
144858825658199154_st,20897.54296875
1448618883257823284_st,32215.580078125
1455406734324235174_st,88292.0625
1456159922209789941_st,234281.8125
1458575463379897371_st,18096.7109375
146206268035953838_st,36513.1875
1462310992362977115_st,87030.3359375
1462631094364743739_st,136203.21875
1462900288741887152_st,128120.484375
146349373354039130_st,121246.8359375
1463737277041413876_st,95580.625
1466387357519076668_st,41087.515625
1469112136497229420_st,26244.146484375
1469891437001939430_st,31637.818359375
1471369522643687852_st,38270.69140625
1474374544316597063_st,239321.796875
1474838723237605457_st,16654.1328125
1477883150977764521_st,67874.4375
1479681329485066994_st,21761.2578125
148388802174309925_st,63220.14453125
1484551776661218764_st,-2370.7080078125
1485566267036074672_st,237756.40625
1485585519590186498_st,56486.890625
1485710806967558837_st,56005.61328125
1490775021605137609_st,249022.46875
149145192403446337_st,249022.46875
1491766937226493605_st,237822.953125
1495680085352673226_st,54746.0
1496724042025426431_st,42394.38671875
1497128270570315821_st,7233.66455078125
1503622930668825341_st,72690.46875
1505582288748773676_st,69736.109375
1505707263781865790_st,69793.8125
1507725753842469617_st,52586.43359375
1509545633114961619_st,237822.953125
1513880118499895475_st,139444.984375
151719194698470862_st,37704.6328125
1519771825716243940_st,23387.28515625
1521407447410849866_st,105014.8359375
1522064661862584327_st,143640.6875
1522174467525920419_st,72419.453125
1522517226455603717_st,239129.453125
1526533209361572178_st,239698.359375
1526589386802120877_st,237488.015625
1532920640971142763_st,88577.2265625
1535179488604428892_st,237822.953125
1540895757038675521_st,14624.5615234375
1541360754262871055_st,237822.953125
1541943482926064403_st,139721.265625
1542252940507519186_st,237822.953125
1544952069069412264_st,237822.953125
1546380888258110620_st,237822.953125
1552048892636076688_st,62358.01953125
1554217736630697432_st,28860.330078125
1557657670234529677_st,237822.953125
1559985950264706026_st,47688.01171875
1563149421968177217_st,239698.359375
1568239518763418505_st,108234.0859375
1571815441379711120_st,28431.771484375
1572073024204691574_st,91400.71875
15755635624013585_st,26417.482421875
1578493458135285912_st,40037.15234375
1579648092439095955_st,237822.953125
1582245318038800705_st,38666.2421875
1585273182248364632_st,239286.296875
1586011569157541229_st,238433.140625
1586308550876044716_st,237822.953125
15864059592995091_st,30952.455078125
158642282115857939_st,58496.44921875
1587423418122753177_st,4707.74267578125
1592232433995993602_st,125770.1171875
1593315082014178993_st,43326.42578125
1594304834872461088_st,35426.4375
1595135091194264808_st,237822.953125
1595181852111961835_st,24692.107421875
1598279014358140630_st,28431.771484375
1609139111614355686_st,148922.953125
1609275904163020719_st,77405.84375
1609949567718682385_st,4882.6435546875
1610107188799256895_st,42271.86328125
1610494654440971107_st,50269.89453125
1610631182235861036_st,62230.07421875
1610830018249632088_st,35922.37109375
1619005863892213340_st,16784.396484375
1620044022477258303_st,18338.05078125
162252644031331242_st,237822.953125
1624621636247371157_st,46762.34765625
1624675199747986180_st,231646.125
1625527770358623312_st,22908.67578125
1626122822972650492_st,52648.69140625
1626240234331226893_st,41403.625
1628314475685116126_st,26019.03125
1631312698088948141_st,49326.08984375
1632976817520709726_st,3196.6669921875
1634650407908315198_st,237822.953125
1634912018741747313_st,237123.9375
1635806999972794207_st,154835.640625
1638155133101635232_st,68228.65625
1640419309626397644_st,125985.7265625
1644684818861378247_st,45802.00390625
1645117383971795261_st,238616.46875
1645448724794614846_st,239590.1875
1646244151176203402_st,37799.98828125
1647303115721594711_st,237822.953125
1648484391049043683_st,97075.8359375
1649462786324867670_st,33934.53125
1649470682218050050_st,237852.34375
165054203039707364_st,237756.40625
1651298545102448143_st,95847.84375
1652973856044692882_st,23388.49609375
1654414320062233188_st,42341.4375
1654931404191930561_st,52072.8828125
1656202871077543672_st,65084.94140625
166111167582199775_st,138827.375
1672980903727097060_st,57214.66796875
1675618435344112751_st,237822.953125
167645149541424501_st,15624.0263671875
1676599343673733996_st,42271.86328125
1677397424183807063_st,237942.46875
1678574764210748596_st,86829.3046875
1680454818764604919_st,101408.7578125
1683583979368839453_st,99169.9375
1683636821685901692_st,239286.296875
1683915131500129075_st,85603.0703125
1686771719211427260_st,78146.6328125
1686829829798908901_st,28172.828125
1688759174245788636_st,235239.046875
1689253659802783461_st,74948.5625
1694964200543302757_st,58441.1875
1695017415660355067_st,48460.546875
1695705421328710963_st,33141.26171875
169673203379774697_st,81380.671875
1697296672196475600_st,30450.81640625
1698798402698483317_st,237822.953125
1705620787460316875_st,35485.984375
1706216513788387104_st,68672.140625
1706794130450981051_st,39157.48046875
1713284802794931603_st,69158.6875
1713575180422828175_st,41697.0
1717184228785145942_st,17094.146484375
171749671026400972_st,39490.984375
1718964734813976566_st,126167.3359375
1722479355356580286_st,69117.6328125
1725593100682031672_st,84663.7109375
1726159899784033460_st,45179.9296875
1727911413674128214_st,94395.1328125
173037676676551667_st,27190.0078125
1739185427561011002_st,146714.0625
1744539208349624912_st,50154.4453125
1747750927337388419_st,34819.56640625
1749586132256864259_st,237760.15625
1750509480206635901_st,45724.21484375
1753408082039589793_st,70365.4921875
1755590351975453126_st,237822.953125
1757046249254925892_st,31958.681640625
1760218743715819964_st,228842.015625
1762685240275022546_st,140081.953125
1767794950631940094_st,45849.203125
1771567713554989316_st,220936.53125
1772473992019353562_st,37251.46484375
1773819382540812845_st,46552.83203125
1773915170564860290_st,96468.6640625
1775266247906490790_st,106394.2890625
1775645446409162865_st,81113.28125
1775994821130557970_st,101717.1640625
1777544475982403949_st,78447.046875
177763697089045655_st,237822.953125
1778869005371293300_st,63800.8828125
1780314763292967611_st,237822.953125
178544424334431823_st,230836.84375
1789841881668483637_st,69918.6796875
1792243691856810494_st,71565.390625
1797028790104146357_st,7400.70166015625
1798721392514212467_st,36515.4140625
1806958712697643218_st,111922.875
1808715223128678254_st,158299.59375
180882581523820142_st,20829.2109375
1809952979724556615_st,106520.078125
181023401587164211_st,155581.46875
1810262579726032935_st,55552.0078125
1811128871539049095_st,63290.9609375
181115609249034320_st,26712.7578125
1812435133471161757_st,94790.9609375
181287554825540894_st,47792.0
1814218044183734085_st,235597.796875
1814253183119314438_st,50244.91015625
1815000393443032221_st,62461.53515625
1816798674368617450_st,63765.22265625
1820344257958020005_st,-10755.6650390625
1820733784678210604_st,47185.296875
1821008560370062627_st,5901.12353515625
1824593565274236651_st,108042.8046875
1825264557124125520_st,32672.943359375
1825774139959189158_st,8928.388671875
183111347855507794_st,102016.8203125
1834561368570021624_st,62921.2734375
1835003644552160312_st,237822.953125
1837369540178436993_st,237822.953125
1838102694588906615_st,153921.90625
1841885490735112196_st,237822.953125
1846994645265687363_st,18412.54296875
1849524593912547491_st,90877.046875
185033006947686423_st,9902.33984375
1850436611440695410_st,144506.28125
1853167224507825966_st,72304.671875
1859101250688735203_st,237822.953125
1860546415903202724_st,93373.0859375
186555324177091329_st,41867.69921875
1865851711293215371_st,90976.34375
1867340056699297275_st,237822.953125
1867584059231149081_st,61014.1328125
1870804896905760683_st,19256.017578125
1871001050608717391_st,93726.078125
1871261194571078086_st,54690.3203125
187130177321836551_st,26038.435546875
1874642765722919357_st,8885.0703125
1875514346005174431_st,50996.72265625
1876386513784414676_st,250510.03125
1878961516364658634_st,88061.0
1880522546893155366_st,35855.078125
1882496627338632707_st,138643.8125
188516562196778184_st,132850.859375
1885551454640573348_st,88714.5390625
1886159544857142346_st,105418.671875
1886537567420518716_st,12916.0166015625
189182231789793800_st,49303.015625
1893934192028933519_st,9435.9296875
1895948011655596570_st,72904.53125
1897932675661669069_st,150936.234375
1900997991292572675_st,100883.5
1902282076631541809_st,70387.7109375
1905340415333818186_st,32729.5859375
1907213915645258710_st,23122.68359375
1907244722970172707_st,23780.853515625
1907428482514713520_st,29345.578125
1908676476331029933_st,38779.26171875
1909009849978261715_st,3125.230224609375
1911435389118096555_st,103597.390625
1912745687044953427_st,17032.583984375
1915831976831627490_st,21312.181640625
1919376595089518233_st,105956.890625
1921886059474062861_st,240476.96875
1922121821362800543_st,105695.0
1926368733138306231_st,30289.328125
1927816297074541225_st,4974.22021484375
1929912659822471056_st,42261.08984375
1933202129363510856_st,71877.1484375
1935180956771536721_st,139386.9375
1939529505900488356_st,54074.703125
1941507818640752866_st,237822.953125
1943518436811267146_st,90928.7421875
1944593511424495249_st,238021.078125
1947034606978197227_st,237822.953125
1947198327605580227_st,39770.671875
1952086342590680257_st,237760.15625
1952451214231788585_st,24923.83203125
1952651058710283424_st,151162.578125
1954018303785113888_st,21208.6015625
1955897163099581903_st,24151.203125
1956184428210106770_st,24060.064453125
1960519924072160699_st,239698.359375
1962770279225367458_st,93726.078125
1966352499667822347_st,23559.544921875
1966655944990901160_st,94494.4375
196667866074859835_st,121885.015625
1968246493657503492_st,238717.390625
1968268851608023774_st,237760.15625
1968325886123264991_st,239129.453125
1968944479392158400_st,239129.453125
197239293490224908_st,81186.828125
1977621232662414895_st,42116.18359375
1978663103663783493_st,96912.0
1979422175702700379_st,40561.6484375
1982189145002319872_st,52747.69921875
1985927785579650114_st,62117.0390625
1988050726013424615_st,87302.109375
1988491775644963137_st,67854.15625
1994108325643484331_st,129914.234375
1999681247947819001_st,-2107.957763671875
2007132211960226496_st,48459.92578125
2007586840930676870_st,52928.7109375
2007714311863940422_st,72504.6171875
2011244847915649661_st,41181.0546875
2012089736593316312_st,161634.984375
2013716675686195488_st,45756.0234375
2013894721338272760_st,238021.078125
2014218741270637745_st,117368.5078125
2015043793198201259_st,97912.1015625
2015856077039371961_st,78978.5234375
2019640023966567568_st,36525.00390625
2021644029481158151_st,10252.76171875
2027849289943827480_st,-960.4840698242188
204447629360573336_st,234313.34375
2045274887485488866_st,20863.87109375
204653624831822839_st,8371.4560546875
2047492100738602595_st,23793.623046875
2051144797368983161_st,19387.8203125
205190074984967157_st,237822.953125
2053103838388597663_st,147779.9375
2057102807093704130_st,240396.6875
2062875436847745856_st,102325.3984375
2064689366289402129_st,11507.1708984375
2064770351937853623_st,38643.14453125
2065086815640235981_st,48871.125
2065149209728473773_st,130795.5234375
2065666051861492151_st,92634.7109375
2070001883938629880_st,35773.0078125
2070066821149527185_st,96108.375
2073547631579864162_st,47274.9453125
2075195070051039062_st,55576.30078125
2076963215131688235_st,63676.73828125
2078766675652890682_st,22530.49609375
2081626494632361322_st,237822.953125
2083335203966564063_st,237822.953125
2088629548803759577_st,239129.453125
2091546496080930101_st,91666.2265625
2092318762821763927_st,49948.671875
2092373336787010720_st,142216.78125
2093071845966111289_st,131068.359375
2093524802641996408_st,62275.859375
2093793749500761131_st,21668.00390625
2099261568542073136_st,9150.7666015625
2099545099797966550_st,239793.328125
2106710928228304912_st,24323.923828125
2109848800068060837_st,45031.4453125
2110266016483432340_st,100602.0625
2111246772029497806_st,86151.7109375
2112876159193821494_st,237822.953125
2115035892930227047_st,23073.6328125
2116146625751268539_st,26748.02734375
2118876651722129334_st,237822.953125
2119094299165419786_st,237344.34375
2119266175928786421_st,39947.1171875
2120050283884039538_st,100070.2421875
2121593382442515820_st,87237.0
2123159612925593274_st,35615.61328125
2132505332723959319_st,21434.92578125
2132719747253704855_st,237822.953125
2135026258383174268_st,80117.171875
2135164420170775419_st,21074.220703125
2135684891932041981_st,118831.7421875
213597031535908021_st,238172.21875
213625769935902084_st,3837.278076171875
2138012802382300668_st,94884.8203125
2138660535454292143_st,100294.3984375
2140529662591718771_st,1955.2646484375
2140630923318622869_st,238172.21875
2142998130003850934_st,237822.953125
214991494153845468_st,69813.0390625
2152320064444166045_st,147398.5625
2154159144986503300_st,151162.0625
2154661459299925256_st,5541.21826171875
2155163257875283387_st,113720.1171875
2156302880283312717_st,234313.34375
2157829735360697038_st,82916.125
2160258322479933108_st,51729.0703125
2161905893452975422_st,140809.1875
2164149516573763306_st,30910.19921875
2165242523081448328_st,33988.07421875
2165609720916911393_st,79075.9453125
2170883108101726780_st,237822.953125
2173721667984324614_st,126082.8671875
217442612176791083_st,239178.125
2176447218822383215_st,75520.53125
2178637550895857688_st,85058.734375
2178869251786583264_st,166667.953125
2179063010787981445_st,93515.6015625
2180034710653477902_st,118235.953125
2182238134053713476_st,62637.75
218532642705862643_st,93303.5
2191443956031161448_st,50086.48828125
2191717514384366636_st,41485.87890625
2195632650294645091_st,62396.3203125
2197782793716641396_st,93154.1796875
2198831234000117793_st,17693.029296875
2203472682266744233_st,30732.73046875
2204703034786923467_st,125267.7578125
2205988691784741507_st,52501.2890625
220777279912362389_st,25383.63671875
221442658328713261_st,54052.98828125
2217909775514085687_st,34305.78515625
2218557151560139255_st,57479.53125
2220268987973068365_st,60020.48828125
2220495814247516246_st,46341.421875
2221371707766791921_st,61703.4765625
2221653971726443343_st,237822.953125
2221780702819434507_st,129489.5078125
2222447420019326793_st,76363.6640625
222316503700587762_st,62891.359375
2223686173423060419_st,237822.953125
2224505899502401807_st,32971.0234375
2235219025520687693_st,33502.3359375
223687176932381139_st,72980.0078125
2237836129960085034_st,101116.0078125
2238160217865606218_st,129328.5234375
224085634466858621_st,110801.5390625
2245525856056348078_st,237822.953125
2245889635581185428_st,57164.53515625
2252426095624476069_st,68708.2734375
225717083789223419_st,65909.984375
2258060983737219957_st,237822.953125
2259454755310898401_st,237822.953125
2260696075142142772_st,237822.953125
2266013644645707485_st,105503.875
2272375926731606271_st,237822.953125
2273471119826632703_st,138917.078125
2274339784469025806_st,59824.88671875
2276478563513354991_st,138917.078125
2282980738262573881_st,95250.453125
2283013752904193055_st,65201.27734375
2283064483339312550_st,237822.953125
2283588510877724139_st,35421.984375
228533870256655325_st,237822.953125
2286032269538894812_st,27508.00390625
2286509012520813300_st,32629.498046875
229068777195077493_st,46495.98828125
2292032433980018154_st,104520.3203125
2294552348248323805_st,16331.7314453125
2295984530627242438_st,22677.06640625
2296480278951019806_st,111069.6484375
2300866422628514523_st,92225.953125
2301841998111716459_st,239129.453125
230184619171277837_st,238433.140625
230249927343863676_st,232530.484375
2304631925658576265_st,77951.265625
2307141394981874067_st,68887.3671875
2307922856956227527_st,66458.0234375
2308079829474953048_st,21150.4609375
2309308646736696528_st,138844.71875
2311088392418423339_st,19455.951171875
2312469080611864648_st,36120.09765625
2320005805759298652_st,16505.796875
2321950640201570250_st,18205.794921875
2322696884265259171_st,96131.171875
2324455646936533456_st,120582.0390625
2332308599362662898_st,237822.953125
2334547386680176310_st,41981.87890625
2335506651317110972_st,237822.953125
2338353752239468658_st,237822.953125
2350679023078718662_st,148276.921875
2357552587771786348_st,49118.796875
2358383720315059870_st,125985.7265625
2359339364520631479_st,52035.34375
236123233858951515_st,11757.244140625
2361547860545696752_st,138824.875
2366111574012179156_st,8919.0859375
2366506135062062000_st,48149.45703125
2368684850485219464_st,114569.5390625
2374089637194825990_st,53974.01953125
237537360063284996_st,71838.140625
2376199265523442491_st,42408.1171875
237747510734534857_st,26428.982421875
2380671635467548658_st,21063.259765625
2382077073276013941_st,22565.345703125
2382078556172226336_st,115819.734375
2384235116086585640_st,147930.453125
2384909761119735464_st,99023.5703125
238665018297454132_st,237822.953125
2388676590487199017_st,127454.890625
2388860383423378956_st,238616.46875
2389560745095563012_st,14275.3291015625
2390307749776378511_st,7353.8994140625
2390479468159932073_st,38563.44140625
2392728434198779678_st,237822.953125
2397829253366349199_st,133953.96875
239806076787125365_st,21170.13671875
24003528264893641_st,21889.6015625
2402971600608513106_st,237822.953125
2404909268664444577_st,61540.58984375
2405768177574710530_st,237822.953125
2411237743064858145_st,34440.51953125
2412256679025420226_st,42889.90234375
2413932300742130365_st,122723.0859375
2415500964718811401_st,239286.296875
2416429695929843236_st,237822.953125
241727566022216019_st,75486.7734375
241937838923120712_st,32899.92578125
2421455279546625343_st,35407.27734375
242318247465296436_st,237442.515625
2423251714278573941_st,75748.375
2423547831132006914_st,84422.15625
2425517249286832659_st,40950.6171875
2425742247392782965_st,17899.1796875
2428359662880247269_st,21788.4765625
2431675272818383851_st,75123.7265625
2431749529313242355_st,112806.5390625
2435377277981429459_st,90493.40625
2436663068260271444_st,43576.5703125
2436778576295928892_st,43387.3671875
2437003999711891083_st,78372.96875
2438859394538967579_st,66491.6328125
2440344145478830112_st,27630.904296875
2441873268219756101_st,35135.078125
2445596665226203287_st,31832.4453125
2446058552278948034_st,71349.140625
2447358074616115121_st,80032.3515625
2448519982291366164_st,237822.953125
2449950651537695705_st,33177.3984375
2450151168094791310_st,49313.0
2454192377816130981_st,237344.34375
2454316515724968610_st,11227.4033203125
2455118784942101562_st,59489.2890625
2455270060114276607_st,18267.291015625
2459250257474891344_st,69143.6796875
2460607203184059105_st,237822.953125
2464206192857008390_st,35818.1875
2464876018519892956_st,57782.4375
2467016814319657061_st,69332.9375
2470047133471525702_st,238717.390625
2474168749200368399_st,137130.1875
2474542128521487862_st,76900.3203125
2478259707885415199_st,20719.869140625
2479538400306230680_st,239222.734375
2481871097948120998_st,100542.984375
2483567424631956439_st,162265.40625
2484160000613327544_st,151556.609375
2488339378389610821_st,32050.005859375
2489124341148673883_st,222747.3125
2491472527814168488_st,31677.076171875
2495130409733646210_st,16858.85546875
2496509877524592044_st,12149.140625
2497114369936044677_st,26303.630859375
2499119950718893885_st,48822.51171875
250037176080491612_st,237822.953125
2500914416921064059_st,51866.90234375
2503550535821423057_st,44746.40234375
2504191537373660180_st,238616.46875
2510391471995466870_st,98040.640625
2510722514251548424_st,237822.953125
2513171329708160030_st,237756.40625
2515791454718586587_st,236586.203125
2516928491495359485_st,130795.5234375
2516964737570106079_st,241211.296875
2519439499455832352_st,73667.2734375
251967580184044876_st,35955.86328125
252338202965063921_st,51275.609375
2523825214664588988_st,168901.328125
2524941725547003144_st,71588.703125
2524984757226459208_st,72333.1953125
2529979828185936296_st,240540.359375
253067207443445807_st,68758.2265625
2531174946314865413_st,136267.328125
2533180495915107898_st,237756.40625
2534043580768379102_st,87656.2421875
2536198026267742213_st,23545.42578125
2537411988838616216_st,19667.6484375
253912872198147741_st,34810.54296875
2543017079260150793_st,237822.953125
2543284589793853605_st,72242.4765625
254426154048305631_st,2802.0693359375
254448742907625049_st,47605.03125
2545393844241298657_st,84587.7109375
2545884686963074735_st,21005.3984375
2546761282972909417_st,237822.953125
2551221563998301791_st,32721.705078125
2551227130597967761_st,237822.953125
2551997046499500757_st,74226.7578125
255216928279318135_st,111045.9296875
2556096199879499513_st,24261.14453125
2556661701287459898_st,23237.15625
2557590408171318585_st,29782.994140625
2557754946296385846_st,60274.48828125
2562426496034024868_st,93775.109375
2563689338273435331_st,50278.5859375
2564448532269679034_st,240808.75
2565969151886342700_st,28996.140625
256795806933299210_st,39891.78125
2569372958696716049_st,35088.67578125
2569846933036679954_st,49183.125
257138981385769818_st,237822.953125
257524371839649379_st,40124.94140625
257611725240318580_st,114046.828125
2576393960536326801_st,32306.064453125
2578385297152367915_st,237822.953125
2579376103104581664_st,7741.02490234375
2586181448550359622_st,50812.96484375
2590339143145365557_st,102874.796875
2591498476407212903_st,75444.265625
2593357986886256655_st,94397.7734375
2594530684596950729_st,83171.8984375
2594718759684164591_st,68758.2265625
2596337982344892983_st,94607.546875
2596462906938170152_st,15964.767578125
2599521134878466916_st,238861.0625
2600012552740072798_st,80175.6796875
2600156590545197724_st,24189.048828125
2600893542206467034_st,80175.6796875
2604724694595858333_st,27464.234375
2605999838772579634_st,237822.953125
260685136384490686_st,237822.953125
2607326790428176337_st,43111.921875
2609750982667504149_st,18286.236328125
2611518832157565553_st,241211.296875
2613912949123876893_st,29272.81640625
2614236342449873944_st,34611.56640625
2615839393938336854_st,15826.69921875
2620146301165451011_st,111900.1875
2620243696765113332_st,237822.953125
2623530628036519747_st,139336.546875
2627778161330231436_st,239129.453125
263062367567702611_st,237822.953125
2631174026565927662_st,1299.338134765625
263177226246223179_st,5130.4052734375
2632643604187675739_st,21949.802734375
2632650294219646745_st,155653.890625
2633362662420692122_st,32298.802734375
2633593905998472161_st,231182.0
2636647041713430800_st,102460.1796875
2636872394397612556_st,237822.953125
2639328235490886384_st,74761.1875
2639616708156699987_st,53449.35546875
2641172405850214118_st,132850.859375
2649253494066590734_st,7449.134765625
2651952410150960149_st,44600.046875
2654186455818940499_st,125393.65625
